*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=cascade_trigger_01
*Date=17:18:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
100;;;112.979;-16.7471;0;Bottom;Copper Fill73
101;;;144.666;-73.1352;0;Bottom;Copper Fill390
102;;;84.5313;-17.6869;0;Bottom;Copper Fill85
103;;;139.675;-23.9226;0;Bottom;Copper Fill383
104;22nF;100 mil [THT, multilayer];111.728;-34.0315;180;Bottom;100pF9
105;;;10.4141;-81.0727;0;Bottom;Copper Fill356
106;;;22.8093;-74.0496;0;Bottom;Copper Fill28
107;;;49.1237;-3.60256;0;Bottom;Copper Fill466
108;2nF;100 mil [THT, multilayer];55.8363;-64.5095;90;Bottom;100pF2
109;;;83.7693;-77.1992;0;Bottom;Copper Fill27
110;;;6.604;-8.68256;0;Bottom;Copper Fill489
111;;DIP (Dual Inline) [THT];13.9263;-67.0448;0;Bottom;driv 1
112;;;11.3666;-51.4943;0;Bottom;Copper Fill185
113;;;46.9266;-51.4943;0;Bottom;Copper Fill455
114;;;3.77335;-79.7515;0;Bottom;Hole5
115;;;7.5565;-31.9109;0;Bottom;Copper Fill133
116;;;13.5637;-3.65336;0;Bottom;Copper Fill498
117;;;66.3957;-21.3826;0;Bottom;Copper Fill371
118;;;10.4141;-75.9927;0;Bottom;Copper Fill138
119;;;142.875;-31.5426;0;Bottom;Copper Fill434
120;;;32.5121;-70.9127;0;Bottom;Copper Fill186
121;2nF;100 mil [THT, multilayer];83.7834;-20.0567;-90;Bottom;100pF6
122;;;22.7966;-82.0252;0;Bottom;Copper Fill154
123;;;144.755;-18.8426;0;Bottom;Copper Fill407
124;;;60.8966;-22.2335;0;Bottom;Copper Fill319
125;;DIP (Dual Inline) [THT];48.2163;-67.0448;0;Bottom;driv 2
126;;;143.802;-37.5751;0;Bottom;Copper Fill436
127;;;18.9866;-51.4943;0;Bottom;Copper Fill418
128;;;47.2441;-8.68256;0;Bottom;Copper Fill468
129;;;129.515;-82.2284;0;Bottom;Copper Fill12
130;;;88.7223;-20.0745;0;Bottom;Copper Fill279
131;;;123.927;-49.3226;0;Bottom;Copper Fill114
132;;;144.708;-21.3148;90;Bottom;trig_in_1
133;;;139.586;-71.2556;0;Bottom;Copper Fill164
134;;DIP (Dual Inline) [THT];82.5063;-67.0448;0;Bottom;driv 3
135;;;2.8956;-18.8426;0;Bottom;Copper Fill210
136;;;85.8521;-6.33306;0;Bottom;Copper Fill96
137;;;91.3865;-2.72451;180;Bottom;T1_12
138;;;139.675;-31.5426;0;Bottom;Copper Fill195
139;;;95.1993;-77.1992;0;Bottom;Copper Fill23
140;;;115.519;-7.39986;0;Bottom;Copper Fill99
141;;;45.6693;-45.3983;0;Bottom;Copper Fill257
142;10k;THT;128.233;-44.1915;0;Bottom;Pdwn 10k9
143;;;142.875;-18.8426;0;Bottom;Copper Fill177
144;;;137.795;-31.5426;0;Bottom;Copper Fill430
145;;;143.802;-32.4951;0;Bottom;Copper Fill196
146;;;128.245;-44.2807;0;Bottom;Copper Fill259
147;;;122.149;-35.505;0;Bottom;Copper Fill339
148;;;31.6866;-62.4417;0;Bottom;Copper Fill316
149;;;123.876;-64.6515;0;Bottom;Copper Fill49
150;;;48.2331;-81.8417;0;Bottom;T1_4
151;;;50.2413;-17.6615;0;Bottom;Copper Fill87
152;;;105.873;-17.7663;0;Bottom;Via12
153;56;THT;46.9534;-37.8415;-90;Bottom;R LED 7
154;;;142.875;-23.9226;0;Bottom;Copper Fill410
155;;;19.9137;-3.65336;0;Bottom;Copper Fill506
156;;;143.802;-19.7951;0;Bottom;Copper Fill404
157;;;30.8103;-65.8326;0;Bottom;Copper Fill369
158;;;15.4941;-75.9927;0;Bottom;Copper Fill348
159;;;101.575;-39.1499;0;Bottom;Copper Fill67
160;;;121.722;-35.4447;0;Bottom;Via2
161;;;7.5565;-9.63506;0;Bottom;Copper Fill487
162;;;48.2855;-20.0491;0;Bottom;Copper Fill284
163;;;76.2763;-67.0391;0;Bottom;Copper Fill36
164;;;55.8856;-70.1919;0;Bottom;Via5
165;;;40.1321;-13.7626;0;Bottom;Copper Fill454
166;;;143.802;-35.6955;0;Bottom;Copper Fill199
167;;;55.4737;-8.68256;0;Bottom;Copper Fill479
168;;;144.666;-56.6251;0;Bottom;Copper Fill124
169;;;48.2093;-67.0391;0;Bottom;Copper Fill35
170;;;58.6741;-8.68256;0;Bottom;Copper Fill485
171;;;11.3666;-51.4943;0;Bottom;Copper Fill419
172;;;122.149;-35.505;0;Bottom;Copper Fill143
173;;;35.5093;-45.3983;0;Bottom;Copper Fill253
174;4.7µF;100 mil [THT, electrolytic];67.2734;-20.0615;90;Bottom;100µF7
175;;;110.376;-33.3079;0;Bottom;Copper Fill336
176;;;10.0966;-62.4417;0;Bottom;Copper Fill161
177;10k;THT;95.2134;-25.1415;180;Bottom;Pdwn 10k5
178;;;88.3413;-36.0257;0;Bottom;Copper Fill270
179;;;23.7237;-75.9927;0;Bottom;Copper Fill333
180;;;145.542;-67.1026;0;Bottom;Copper Fill160
181;;;4.1402;-63.2926;0;Bottom;Copper Fill399
182;;;130.759;-67.8266;0;Bottom;Copper Fill53
183;;;18.9866;-2.70086;0;Bottom;Copper Fill228
184;;;124.46;-4.80906;0;Bottom;Copper Fill107
185;;;10.0966;-62.4417;0;Bottom;Copper Fill379
186;;;82.4993;-82.2284;0;Bottom;Copper Fill6
187;;;22.7966;-80.1456;0;Bottom;Copper Fill366
188;2nF;100 mil [THT, multilayer];49.5004;-20.0361;-90;Bottom;100pF7
